food,calorie,protein,carbs,fat,Goals,Preferences,Restrictions
Pasta with Tomato Sauce,200,7,40,1,General health,Vegetarian,None
Yogurt,150,8,12,8,General health,Dairy,Lactose intolerant
Scrambled Eggs,140,14,1,9,General health,Protein-Rich Foods,None
Peanut Butter and Jelly Sandwich,350,10,45,15,General health,Sweets,None
Green Salad,50,2,10,0.5,Weight loss,Vegetables,None
Brown Rice,215,5,45,1.6,General health,Whole Grains,None
Coffee,2,0.3,0,0.1,General health,Beverages,Caffeine sensitive
Cheese Sandwich,320,15,30,15,Weight loss,Dairy,None
Margherita Pizza,220,10,25,10,General health,Vegetarian,None
Grapes,69,0.6,18,0.2,General health,Fruits,None
Spaghetti Bolognese,300,15,40,10,General health,Protein-Rich Foods,None
Milkshake,200,5,30,8,General health,Dairy,Lactose intolerant
Hard-Boiled Eggs,68,5,0.6,5,General health,Protein-Rich Foods,None
Peanut Butter Toast,180,7,20,10,Muscle gain,Nuts,None
Vegetable Stir-Fry,120,5,20,3,Weight loss,Vegetables,None
Salmon Sushi Roll,220,15,25,10,General health,Seafood,None
Green Tea,0,0,0,0,General health,Beverages,Caffeine sensitive
Turkey and Cheese Wrap,300,20,25,15,Weight loss,Dairy,None
Vegetarian Calzone,250,12,30,8,General health,Vegetarian,None
Apple Slices with Peanut Butter,180,5,20,10,Muscle gain,Nuts,None
Vegetable Lasagna,280,15,30,12,General health,Vegetarian,None
Iced Coffee,30,0.5,5,0,General health,Beverages,Caffeine sensitive
Greek Yogurt Parfait,200,15,20,8,General health,Dairy,Lactose intolerant
Cottage Cheese with Pineapple,150,14,10,6,General health,Dairy,None
Grilled Cheese Sandwich,320,15,30,15,Weight loss,Dairy,None
Baked Chicken Breast,165,31,0,3.6,General health,Protein-Rich Foods,None
Green Smoothie,100,2,25,0.5,General health,Fruits,None
Classic Hamburger,300,15,30,15,Weight loss,Protein-Rich Foods,None
Caprese Salad,150,8,10,10,General health,Vegetarian,None
Orange,62,1.2,15,0.2,General health,Fruits,None
Quinoa Salad,200,7,35,5,General health,Whole Grains,Vegetarian
Iced Tea,5,0,1,0,General health,Beverages,Caffeine sensitive
Plain Yogurt,100,10,5,5,General health,Dairy,Lactose intolerant
Peanut Butter and Banana Sandwich,350,10,45,15,General health,Sweets,None
Caesar Salad,250,15,10,18,Weight loss,Vegetables,None
Grilled Salmon,200,22,0,13,General health,Seafood,None
Black Coffee,2,0.2,0,0,General health,Beverages,Caffeine sensitive
Turkey Club Sandwich,350,25,20,18,Weight loss,Protein-Rich Foods,None
Margherita Flatbread,220,8,30,8,General health,Vegetarian,None
Grapes,69,0.6,18,0.2,General health,Fruits,None
Vegetable Stir-Fry,150,5,25,5,Weight loss,Vegetables,None
Iced Lemonade,80,0,20,0,General health,Beverages,None
Almond Milk,60,1,1,5,General health,Nuts,Lactose intolerant
Banana Smoothie,120,1,30,0.5,General health,Fruits,None
Peanut Butter Toast,180,7,20,10,Muscle gain,Nuts,None
Roast Chicken,250,30,0,15,General health,Protein-Rich Foods,None
Espresso,1,0.1,0,0,General health,Beverages,Caffeine sensitive
BLT Sandwich,400,15,30,25,Weight loss,Protein-Rich Foods,None
Vegetarian Wrap,280,12,35,10,General health,Vegetarian,None
Apple,95,0.5,25,0.3,General health,Fruits,None
Quinoa Bowl,300,10,40,12,General health,Whole Grains,Vegetarian
Iced Latte,60,1,6,3,General health,Beverages,Caffeine sensitive
Coconut Milk,80,1,1,7,General health,Nuts,Lactose intolerant
Fruit Salad,120,1,30,0.5,General health,Fruits,None
Grilled Cheese,230,10,20,15,General health,Dairy,None
Grilled Shrimp,120,20,2,5,General health,Seafood,None
Iced Green Tea,5,0,1,0,General health,Beverages,Caffeine sensitive
Caesar Wrap,350,15,25,22,Weight loss,Protein-Rich Foods,None
Margherita Panini,300,10,30,15,General health,Vegetarian,None
Banana,95,1.3,25,0.3,General health,Fruits,None
Brown Rice Bowl,250,8,40,5,General health,Whole Grains,Vegetarian
Iced Chai Latte,80,1,10,4,General health,Beverages,Caffeine sensitive
Almond Butter,180,7,5,15,General health,Nuts,None
Greek Salad,200,10,15,15,General health,Vegetarian,None
Cheese Quesadilla,320,15,30,15,General health,Dairy,None
Grilled Tofu,180,15,10,12,General health,Vegetarian,None
Black Tea,2,0.2,0.5,0,General health,Beverages,Caffeine sensitive
Chicken Caesar Salad,280,20,15,18,Weight loss,Protein-Rich Foods,None
Mushroom Risotto,220,6,40,5,General health,Vegetarian,None
Pear,57,0.6,15,0.2,General health,Fruits,None
Quinoa and Black Bean Burrito,300,12,45,8,General health,Whole Grains,Vegetarian
Iced Mocha,120,1,20,5,General health,Beverages,Caffeine sensitive
Cashew Butter,160,5,8,14,General health,Nuts,None
Caprese Pizza,250,12,30,10,General health,Vegetarian,None
Turkey and Cheese Quesadilla,280,20,15,18,Weight loss,Protein-Rich Foods,None
Salmon Fillet,220,25,0,13,General health,Seafood,None
Iced Latte,60,1,6,3,General health,Beverages,Caffeine sensitive
Chicken Avocado Wrap,320,20,25,15,Weight loss,Protein-Rich Foods,None
Margherita Pizza,280,12,30,12,General health,Vegetarian,None
Apple,95,0.5,25,0.3,General health,Fruits,None
Quinoa and Vegetable Stir-Fry,200,5,40,2,General health,Whole Grains,Vegetarian
Iced Americano,5,0.5,1,0,General health,Beverages,Caffeine sensitive
Coconut Oil,120,0,0,14,General health,Fats,None
Greek Salad,180,8,12,12,General health,Vegetarian,None
Grilled Cheese Sandwich,320,15,30,15,Weight loss,Dairy,None
Grilled Chicken Salad,180,25,10,8,Weight loss,Protein-Rich Foods,None
Iced Chamomile Tea,0,0,0,0,General health,Beverages,Caffeine sensitive
Turkey and Swiss Sandwich,350,20,30,15,Weight loss,Protein-Rich Foods,None
Vegetarian Margherita Flatbread,240,8,35,7,General health,Vegetarian,None
Banana,105,1.3,27,0.3,General health,Fruits,None
Quinoa and Chickpea Bowl,280,10,40,9,General health,Whole Grains,Vegetarian
Iced Rooibos Tea,0,0,0,0,General health,Beverages,Caffeine sensitive
Olive Oil,120,0,0,14,General health,Fats,None
Caesar Salad,200,10,15,15,General health,Vegetarian,None
Cheese and Tomato Panini,300,12,30,15,General health,Dairy,None
Grilled Salmon Salad,250,30,15,12,Weight loss,Seafood,None
Iced Herbal Tea,5,0,1,0,General health,Beverages,Caffeine sensitive
Chicken Caesar Wrap,320,22,20,15,Weight loss,Protein-Rich Foods,None
Vegetarian Margherita Pizza,280,12,30,10,General health,Vegetarian,None
Pear,57,0.6,15,0.2,General health,Fruits,None
Quinoa and Black Bean Salad,220,8,35,5,General health,Whole Grains,Vegetarian
Iced Peppermint Tea,0,0,0,0,General health,Beverages,Caffeine sensitive
Avocado,160,2,9,15,General health,Fats,None
Greek Chicken Salad,200,25,10,8,Weight loss,Protein-Rich Foods,None
Tomato and Mozzarella Panini,300,14,25,15,General health,Dairy,None
Baked Chicken Thighs,200,22,0,12,Weight loss,Protein-Rich Foods,None
Iced Matcha Latte,50,1,10,1,General health,Beverages,Caffeine sensitive
Turkey Club Salad,300,20,15,18,Weight loss,Protein-Rich Foods,None
Vegetarian Margherita Pasta,250,10,30,8,General health,Vegetarian,None
Banana,105,1.3,27,0.3,General health,Fruits,None
Quinoa and Vegetable Wrap,280,12,35,9,General health,Whole Grains,Vegetarian
Iced Hibiscus Tea,5,0,1,0,General health,Beverages,Caffeine sensitive
Coconut Water,45,0.5,11,0,General health,Beverages,None
Caesar Chicken Wrap,320,25,20,15,Weight loss,Protein-Rich Foods,None
Mushroom and Swiss Panini,280,12,25,14,General health,Dairy,None
Grilled Tuna Steak,180,25,1,8,Weight loss,Seafood,None
Iced Lemon Tea,10,0,3,0,General health,Beverages,Caffeine sensitive
Chicken Avocado Salad,280,20,15,18,Weight loss,Protein-Rich Foods,None
Vegetarian Margherita Sandwich,250,10,30,8,General health,Vegetarian,None
Apple,95,0.5,25,0.3,General health,Fruits,None
Quinoa and Lentil Bowl,220,12,35,4,General health,Whole Grains,Vegetarian
Iced Ginger Tea,5,0,1,0,General health,Beverages,Caffeine sensitive
Olive Tapenade,80,1,5,6,General health,Fats,None
Greek Chicken Gyro,300,25,15,15,Weight loss,Protein-Rich Foods,None
Caprese Panini,280,12,25,14,General health,Dairy,None
Roasted Turkey Breast,150,30,0,3,Weight loss,Protein-Rich Foods,None
Iced Peach Tea,15,0,4,0,General health,Beverages,Caffeine sensitive
Chicken Caesar Bowl,320,22,20,15,Weight loss,Protein-Rich Foods,None
Margherita Flatbread Sandwich,250,10,30,8,General health,Vegetarian,None
Pear,57,0.6,15,0.2,General health,Fruits,None
Quinoa and Chickpea Salad,220,8,35,5,General health,Whole Grains,Vegetarian
Iced Lavender Tea,5,0,1,0,General health,Beverages,Caffeine sensitive
Almond Butter,180,7,5,15,General health,Nuts,None
Greek Chicken Wrap,300,25,15,12,Weight loss,Protein-Rich Foods,None
Caprese Pasta Salad,280,12,25,14,General health,Dairy,None
Baked Cod Fish,120,25,0,2,Weight loss,Seafood,None
Iced Berry Tea,10,0,3,0,General health,Beverages,Caffeine sensitive
Chicken Caesar Wrap,300,22,20,15,Weight loss,Protein-Rich Foods,None
Margherita Pizza,280,12,30,12,General health,Vegetarian,None
Banana,105,1.3,27,0.3,General health,Fruits,None
Quinoa and Vegetable Stir-Fry,220,8,35,5,General health,Whole Grains,Vegetarian
Iced Peppermint Tea,5,0,1,0,General health,Beverages,Caffeine sensitive
Olive Oil,120,0,0,14,General health,Fats,None
Chicken Caesar Salad,200,25,10,8,Weight loss,Protein-Rich Foods,None
Caprese Panini,280,12,25,14,General health,Dairy,None
Chana Masala,150,7,25,5,General health,Vegetarian,None
Masoor Dal,120,9,20,2,General health,Vegetarian,None
Chicken Biryani,300,20,30,15,Weight loss,Protein-Rich Foods,None
Vegetable Pulao,250,5,40,8,General health,Vegetarian,None
Mango Lassi,150,5,30,2,General health,Beverages,None
Palak Paneer,200,15,10,12,Weight loss,Vegetarian,None
Tandoori Roti,100,3,15,2,General health,Whole Grains,Vegetarian
Coconut Chutney,50,1,5,3,General health,Vegetarian,None
Gulab Jamun,200,2,30,10,General health,Sweets,None
Aloo Gobi,180,5,20,10,General health,Vegetarian,None
Rice(Steamed),150,3,30,1,General health,Whole Grains,None
Dal Tadka,120,8,15,5,General health,Vegetarian,None
Roti,80,2,15,1,General health,Whole Grains,Vegetarian
Aloo Paratha,250,5,30,12,General health,Vegetarian,None
Paneer Bhurji,200,15,10,12,Weight loss,Vegetarian,None
Cucumber Raita,50,2,6,2,General health,Vegetarian,None
Chapati,70,2,12,1,General health,Whole Grains,Vegetarian
Baingan Bharta,120,5,15,6,General health,Vegetarian,None
Masala Chai,50,1,8,2,General health,Beverages,Caffeine sensitive
Samosa,150,3,20,7,General health,Snacks,None
Khichdi,200,6,30,5,General health,Vegetarian,None
Bhindi Masala,120,3,15,7,General health,Vegetarian,None
Poha,150,3,30,2,General health,Vegetarian,None
Rajma Chawal,250,10,40,5,General health,Vegetarian,None
Curd Rice,180,5,25,6,General health,Vegetarian,None
Aloo Matar,160,4,20,8,General health,Vegetarian,None
Jalebi,250,2,40,10,General health,Sweets,None
Dosa,120,2,25,2,General health,Vegetarian,None
Mango,60,1,15,0.3,General health,Fruits,None
Lassi,100,3,15,3,General health,Beverages,None
Chapati,80,2,15,1,General health,Whole Grains,Vegetarian
Rajma,160,8,30,2,General health,Vegetarian,None
Aloo Gobi,180,5,20,10,General health,Vegetarian,None
Chicken Curry,250,20,10,15,Weight loss,Protein-Rich Foods,None
Vegetable Biryani,300,7,40,10,General health,Vegetarian,None
Butter Chicken,350,25,15,20,Weight loss,Protein-Rich Foods,None
Paneer Tikka,200,15,10,12,Weight loss,Vegetarian,None
Dal Fry,140,7,20,5,General health,Vegetarian,None
Samosa,150,3,20,7,General health,Snacks,None
Masala Chai,50,1,8,2,General health,Beverages,Caffeine sensitive
Roti,80,2,15,1,General health,Whole Grains,Vegetarian
Palak Paneer,200,15,10,12,Weight loss,Vegetarian,None
Dhokla,120,5,25,2,General health,Vegetarian,None
Chicken Biryani,300,20,30,15,Weight loss,Protein-Rich Foods,None
Chana Chaat,150,7,30,2,General health,Vegetarian,None
Bhindi Masala,120,3,15,7,General health,Vegetarian,None
Mango,60,1,15,0.3,General health,Fruits,None
Aloo Paratha,250,5,30,12,General health,Vegetarian,None
Samosa,150,3,20,7,General health,Snacks,None
Masala Chai,50,1,8,2,General health,Beverages,Caffeine sensitive
Dhal Tadka,150,8,20,5,General health,Vegetarian,None
