Index,Age,Gender,Weight,Height,Fitness_Level,Exercise_Duration,Equipment,Goals,Exercise_Preference
107,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
108,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
109,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
110,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
111,34,Male,79,178,Intermediate,50 mins/day,Outdoor,Overall Fitness,Strength Training
112,28,Female,62,165,Intermediate,35 mins/day,Gym,Muscle Gain,Cardio
113,29,Male,74,177,Intermediate,45 mins/day,Home,Overall Fitness,Cardio
114,34,Female,69,166,Advanced,60 mins/day,Gym,Muscle Gain,Strength Training
115,36,Male,86,183,Advanced,60 mins/day,Outdoor,Weight Loss,Yoga
116,28,Female,63,160,Beginner,30 mins/day,Home,Cardio,Overall Fitness
117,33,Male,79,178,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
118,25,Female,60,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
119,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
120,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
121,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
122,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
123,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
124,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
125,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
126,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
127,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
128,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
129,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
130,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
131,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
132,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
133,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
134,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
135,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
136,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
137,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
138,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
139,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
140,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
141,34,Male,79,178,Intermediate,50 mins/day,Outdoor,Overall Fitness,Strength Training
142,28,Female,62,165,Intermediate,35 mins/day,Gym,Muscle Gain,Cardio
143,29,Male,74,177,Intermediate,45 mins/day,Home,Overall Fitness,Cardio
144,34,Female,69,166,Advanced,60 mins/day,Gym,Muscle Gain,Strength Training
145,36,Male,86,183,Advanced,60 mins/day,Outdoor,Weight Loss,Yoga
146,28,Female,63,160,Beginner,30 mins/day,Home,Cardio,Overall Fitness
147,33,Male,79,178,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
148,25,Female,60,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
149,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
150,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
151,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
152,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
153,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
154,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
155,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
156,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
157,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
158,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
159,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
160,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
161,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
162,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
163,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
164,33,Male,79,180,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
165,25,Female,60,163,Beginner,30 mins/day,Home,Cardio,Overall Fitness
166,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
167,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
168,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
169,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
170,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
171,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
172,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
173,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
174,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
175,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
176,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
177,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
178,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
179,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
180,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
181,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
182,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
183,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
184,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
185,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
186,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
187,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
188,39,Male,87,186,Advanced,60 mins/day,Gym,Overall Fitness,Strength Training
189,28,Female,63,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
190,33,Male,79,180,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
191,25,Female,60,163,Beginner,30 mins/day,Home,Cardio,Overall Fitness
192,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
193,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
194,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
195,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
196,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
197,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
198,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
199,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
200,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
201,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
202,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
203,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
204,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
205,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
206,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
207,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
208,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
209,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
210,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
211,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
212,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
213,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
214,39,Male,87,186,Advanced,60 mins/day,Gym,Overall Fitness,Strength Training
215,28,Female,63,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
216,33,Male,79,180,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
217,25,Female,60,163,Beginner,30 mins/day,Home,Cardio,Overall Fitness
218,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
219,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
220,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
221,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
222,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
223,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
224,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
225,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
226,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
227,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
228,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
229,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
230,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
231,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
232,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
233,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
234,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
235,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
236,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
237,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
238,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
239,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
240,39,Male,87,186,Advanced,60 mins/day,Gym,Overall Fitness,Strength Training
241,28,Female,63,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
242,33,Male,79,180,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
243,25,Female,60,163,Beginner,30 mins/day,Home,Cardio,Overall Fitness
244,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
245,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
246,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
247,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
248,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
249,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
250,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
251,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
252,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
253,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
254,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
255,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
256,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
257,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
258,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
259,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
260,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
261,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
262,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
263,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
264,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
265,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
266,39,Male,87,186,Advanced,60 mins/day,Gym,Overall Fitness,Strength Training
267,28,Female,63,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
268,33,Male,79,180,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
269,25,Female,60,163,Beginner,30 mins/day,Home,Cardio,Overall Fitness
270,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
271,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
272,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
273,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
274,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
275,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
276,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
277,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
278,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
279,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
280,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
281,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
282,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
283,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
284,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
285,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
286,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
287,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
288,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
289,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
290,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
291,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
292,39,Male,87,186,Advanced,60 mins/day,Gym,Overall Fitness,Strength Training
293,28,Female,63,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
294,33,Male,79,180,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
295,25,Female,60,163,Beginner,30 mins/day,Home,Cardio,Overall Fitness
296,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
297,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
298,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
299,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
300,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
301,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
302,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
303,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
304,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
305,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
306,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
307,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
308,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
309,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
310,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
311,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
312,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
313,28,Female,64,162,Beginner,30 mins/day,Home,Cardio,Overall Fitness
314,35,Male,88,190,Advanced,60 mins/day,Outdoor,Overall Fitness,Muscle Gain
315,24,Female,55,158,Beginner,30 mins/day,Outdoor,Cardio,Strength Training
316,36,Male,84,185,Advanced,60 mins/day,Gym,Weight Loss,Yoga
317,31,Female,61,167,Intermediate,45 mins/day,Home,Muscle Gain,Cardio
318,39,Male,87,186,Advanced,60 mins/day,Gym,Overall Fitness,Strength Training
319,28,Female,63,162,Beginner,30 mins/day,Outdoor,Cardio,Overall Fitness
320,33,Male,79,180,Intermediate,45 mins/day,Gym,Weight Loss,Strength Training
321,25,Female,60,163,Beginner,30 mins/day,Home,Cardio,Overall Fitness
322,30,Male,76,182,Intermediate,50 mins/day,Gym,Muscle Gain,Yoga
323,27,Female,61,165,Intermediate,35 mins/day,Outdoor,Weight Loss,Strength Training
324,39,Male,85,188,Advanced,60 mins/day,Home,Muscle Gain,Strength Training
325,22,Female,57,158,Beginner,30 mins/day,Outdoor,Cardio,Muscle Gain
326,38,Male,92,195,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
327,29,Female,64,165,Intermediate,45 mins/day,Home,Weight Loss,Strength Training
328,27,Male,78,180,Intermediate,50 mins/day,Gym,Cardio,Muscle Gain
329,35,Female,68,167,Intermediate,35 mins/day,Outdoor,Cardio,Overall Fitness
330,30,Male,77,178,Intermediate,45 mins/day,Home,Weight Loss,Yoga
331,28,Female,62,163,Beginner,30 mins/day,Outdoor,Muscle Gain,Strength Training
332,32,Male,84,185,Advanced,60 mins/day,Gym,Overall Fitness,Cardio
333,24,Female,58,160,Beginner,30 mins/day,Home,Cardio,Strength Training
334,31,Male,80,175,Advanced,60 mins/day,Outdoor,Weight Loss,Muscle Gain
335,29,Female,66,170,Intermediate,40 mins/day,Gym,Overall Fitness,Cardio
336,37,Male,90,188,Advanced,60 mins/day,Home,Overall Fitness,Muscle Gain
337,26,Female,59,165,Intermediate,45 mins/day,Outdoor,Weight Loss,Strength Training
338,33,Male,82,183,Advanced,60 mins/day,Gym,Muscle Gain,Yoga
