id,age,height,weight,gender,goal,time,equipment,aerobic,strength_training,intensity
72,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
73,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
74,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
75,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
76,45,168,72,Female,build_muscle,45,weight_machine,Running,Weight Lifting,Intense
77,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
78,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
79,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
80,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
81,26,175,68,Male,build_muscle,45,dumbbells,Jogging,Weight Lifting,Moderate
82,48,180,80,Female,stay_fit,50,treadmill,Cycling,Weight Lifting,Moderate
83,34,162,58,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
84,53,168,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
85,29,170,72,Male,stay_fit,40,bodyweight_exercises,Dancing,Bodyweight,Moderate
86,41,167,65,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
87,31,158,52,Male,stay_fit,35,weight_machine,Running,Weight Lifting,Moderate
88,50,182,88,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
89,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
90,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
91,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
92,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
93,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
94,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
95,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
96,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
97,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
98,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
99,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
100,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
101,27,175,70,Male,build_muscle,40,dumbbells,Cycling,Bodyweight,Moderate
102,43,180,82,Female,stay_fit,50,treadmill,Running,Weight Lifting,Moderate
103,32,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
104,47,175,78,Female,build_muscle,60,barbell,Jogging,Weight Lifting,Intense
105,26,172,63,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
106,36,168,67,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
107,30,155,50,Male,stay_fit,30,weight_machine,Running,Weight Lifting,Moderate
108,52,185,85,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
109,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
110,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
111,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
112,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
113,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
114,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
115,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
116,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
117,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
118,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
119,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
120,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
121,26,175,68,Male,build_muscle,45,dumbbells,Jogging,Weight Lifting,Moderate
122,48,180,80,Female,stay_fit,50,treadmill,Cycling,Weight Lifting,Moderate
123,34,162,58,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
124,53,168,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
125,29,170,72,Male,stay_fit,40,bodyweight_exercises,Dancing,Bodyweight,Moderate
126,41,167,65,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
127,31,158,52,Male,stay_fit,35,weight_machine,Running,Weight Lifting,Moderate
128,50,182,88,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
129,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
130,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
131,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
132,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
133,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
134,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
135,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
136,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
137,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
138,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
139,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
140,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
141,27,175,70,Male,build_muscle,40,dumbbells,Cycling,Bodyweight,Moderate
142,43,180,82,Female,stay_fit,50,treadmill,Running,Weight Lifting,Moderate
143,32,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
144,47,175,78,Female,build_muscle,60,barbell,Jogging,Weight Lifting,Intense
145,26,172,63,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
146,36,168,67,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
147,30,155,50,Male,stay_fit,30,weight_machine,Running,Weight Lifting,Moderate
148,52,185,85,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
149,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
150,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
151,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
152,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
153,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
154,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
155,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
156,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
157,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
158,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
159,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
160,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
161,26,175,68,Male,build_muscle,45,dumbbells,Jogging,Weight Lifting,Moderate
162,48,180,80,Female,stay_fit,50,treadmill,Cycling,Weight Lifting,Moderate
163,34,162,58,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
164,53,168,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
165,29,170,72,Male,stay_fit,40,bodyweight_exercises,Dancing,Bodyweight,Moderate
166,41,167,65,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
167,31,158,52,Male,stay_fit,35,weight_machine,Running,Weight Lifting,Moderate
168,50,182,88,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
169,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
170,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
171,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
172,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
173,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
174,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
175,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
176,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
177,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
178,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
179,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
180,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
181,26,175,68,Male,build_muscle,45,dumbbells,Jogging,Weight Lifting,Moderate
182,48,180,80,Female,stay_fit,50,treadmill,Cycling,Weight Lifting,Moderate
183,34,162,58,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
184,53,168,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
185,29,170,72,Male,stay_fit,40,bodyweight_exercises,Dancing,Bodyweight,Moderate
186,41,167,65,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
187,31,158,52,Male,stay_fit,35,weight_machine,Running,Weight Lifting,Moderate
188,50,182,88,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
189,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
190,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
191,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
192,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
193,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
194,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
195,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
196,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
197,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
198,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
199,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
200,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
201,27,175,70,Male,build_muscle,40,dumbbells,Cycling,Bodyweight,Moderate
202,43,180,82,Female,stay_fit,50,treadmill,Running,Weight Lifting,Moderate
203,32,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
204,47,175,78,Female,build_muscle,60,barbell,Jogging,Weight Lifting,Intense
205,26,172,63,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
206,36,168,67,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
207,30,155,50,Male,stay_fit,30,weight_machine,Running,Weight Lifting,Moderate
208,52,185,85,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
209,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
210,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
211,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
212,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
213,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
214,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
215,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
216,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
217,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
218,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
219,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
220,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
221,26,175,68,Male,build_muscle,45,dumbbells,Jogging,Weight Lifting,Moderate
222,48,180,80,Female,stay_fit,50,treadmill,Cycling,Weight Lifting,Moderate
223,34,162,58,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
224,53,168,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
225,29,170,72,Male,stay_fit,40,bodyweight_exercises,Dancing,Bodyweight,Moderate
226,41,167,65,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
227,31,158,52,Male,stay_fit,35,weight_machine,Running,Weight Lifting,Moderate
228,50,182,88,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
229,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
230,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
231,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
232,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
233,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
234,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
235,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
236,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
237,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
238,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
239,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
240,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
241,27,175,70,Male,build_muscle,40,dumbbells,Cycling,Bodyweight,Moderate
242,43,180,82,Female,stay_fit,50,treadmill,Running,Weight Lifting,Moderate
243,32,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
244,47,175,78,Female,build_muscle,60,barbell,Jogging,Weight Lifting,Intense
245,26,172,63,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
246,36,168,67,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
247,30,155,50,Male,stay_fit,30,weight_machine,Running,Weight Lifting,Moderate
248,52,185,85,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
249,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
250,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
251,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
252,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
253,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
254,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
255,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
256,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
257,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
258,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
259,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
260,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
261,26,175,68,Male,build_muscle,45,dumbbells,Jogging,Weight Lifting,Moderate
262,48,180,80,Female,stay_fit,50,treadmill,Cycling,Weight Lifting,Moderate
263,34,162,58,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
264,53,168,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
265,29,170,72,Male,stay_fit,40,bodyweight_exercises,Dancing,Bodyweight,Moderate
266,41,167,65,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
267,31,158,52,Male,stay_fit,35,weight_machine,Running,Weight Lifting,Moderate
268,50,182,88,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
269,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
270,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
271,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
272,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
273,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
274,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
275,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
276,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
277,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
278,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
279,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
280,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
281,27,175,70,Male,build_muscle,40,dumbbells,Cycling,Bodyweight,Moderate
282,43,180,82,Female,stay_fit,50,treadmill,Running,Weight Lifting,Moderate
283,32,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
284,47,175,78,Female,build_muscle,60,barbell,Jogging,Weight Lifting,Intense
285,26,172,63,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
286,36,168,67,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
287,30,155,50,Male,stay_fit,30,weight_machine,Running,Weight Lifting,Moderate
288,52,185,85,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
289,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
290,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
291,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
292,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
293,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
294,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
295,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
296,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
297,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
298,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
299,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
300,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
301,26,175,68,Male,build_muscle,45,dumbbells,Jogging,Weight Lifting,Moderate
302,48,180,80,Female,stay_fit,50,treadmill,Cycling,Weight Lifting,Moderate
303,34,162,58,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
304,53,168,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
305,29,170,72,Male,stay_fit,40,bodyweight_exercises,Dancing,Bodyweight,Moderate
306,41,167,65,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
307,31,158,52,Male,stay_fit,35,weight_machine,Running,Weight Lifting,Moderate
308,50,182,88,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
309,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
310,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
311,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
312,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
313,34,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
314,56,170,75,Female,build_muscle,60,barbell,Weight Lifting,Bodyweight,Intense
315,29,172,68,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
316,45,168,72,Female,build_muscle,75,weight_machine,Running,Weight Lifting,Intense
317,33,175,80,Male,stay_fit,50,swimming_pool,Swimming,Resistance Band,Moderate
318,39,160,55,Female,lose_weight,35,stationary_bike,Cycling,Bodyweight,Low
319,25,170,65,Male,stay_fit,30,elliptical_machine,Cycling,Bodyweight,Low
320,58,165,70,Female,lose_weight,40,yoga_mat,Running,Bodyweight,Moderate
321,27,175,70,Male,build_muscle,40,dumbbells,Cycling,Bodyweight,Moderate
322,43,180,82,Female,stay_fit,50,treadmill,Running,Weight Lifting,Moderate
323,32,160,55,Male,lose_weight,30,jump_rope,Cycling,Bodyweight,Low
324,47,175,78,Female,build_muscle,60,barbell,Jogging,Weight Lifting,Intense
325,26,172,63,Male,stay_fit,35,bodyweight_exercises,Dancing,Bodyweight,Moderate
326,36,168,67,Female,lose_weight,45,stationary_bike,Cycling,Weight Machine,Moderate
327,30,155,50,Male,stay_fit,30,weight_machine,Running,Weight Lifting,Moderate
328,52,185,85,Female,build_muscle,55,swimming_pool,Swimming,Resistance Band,Intense
329,28,167,70,Male,lose_weight,40,elliptical_machine,Cycling,Bodyweight,Low
330,40,162,68,Female,stay_fit,50,yoga_mat,Running,Bodyweight,Moderate
331,24,178,75,Male,build_muscle,60,dumbbells,Jogging,Weight Lifting,Intense
332,44,175,80,Female,stay_fit,40,treadmill,Cycling,Bodyweight,Moderate
